lead_date,project_name,group name,gst name,gst no,Site_incharge,site_incharge_mobile,office_contact,email,logged_in_sales_representive,login_date&time,ADDRESS,state,city,pincode,PRODUCT,SIZE,CAPCITY,QTY,specification,unit_pricew,sub_total,gst,gst_amount,discount,grand_total
20-05-2026,FACTORY RETAILS SALES,FACTORY RETAILS SALES,FACTORY RETAILS SALES,24AAGFO6914P1ZS,GK,9624659592,9624659592,info@thehimalaya.co.in,sales5,20-05-2026,"T.P. SCHEME NUMBER 128, PLOT NO.88,VATVA,AHMEDABAD,GUJARAT",,,382443,MHC,600X600,ELD,1,GREY,5800,5800,18%,1044,0,6844
27-05-2026,ORANGE INFRA,ORANGE INFRA,ORANGE INFRA,24AAGFO6914P1ZS,GK,9624659592,9624659592,info@thehimalaya.co.in,sales5,27-05-2026,"T.P. SCHEME NUMBER 128, PLOT NO.88,VATVA,AHMEDABAD,GUJARAT",,,382443,MHC,12X12,ELD,25,GREY,480,12000,18%,2160,0,14160
27-05-2026,ORANGE INFRA,ORANGE INFRA,ORANGE INFRA,24AAGFO6914P1ZS,GK,9624659592,9624659592,info@thehimalaya.co.in,sales5,27-05-2026,"T.P. SCHEME NUMBER 128, PLOT NO.88,VATVA,AHMEDABAD,GUJARAT",,,382443,MHC,28X28,ELD,3,GREY,2025,6075,18%,1093.5,0,7168.5
02-07-2026,UNITED BROTHERS CREATION INFRA,UNITED BROTHERS CREATION INFRA,UNITED BROTHERS CREATION INFRA,24AAHFU3509M1ZY,GK,MO : 9586362138,MO : 9586362138,info@thehimalaya.co.in,sales5,02-07-2026,"FF-8, DARSHAN COMPLEX, BOPAL ROAD,
NEAR UMIYA TEMPLE,BOPAL,AHMEDABAD",,,380058,MHC,750x750,B125,1,GREY,10500,10500,18%,1890,0,12390
04-06-2026,RAJESH HARDWARE MART,RAJESH HARDWARE MART,RAJESH HARDWARE MART,24ABIPP9184F1ZB,GK,8200256431,8200256431,info@thehimalaya.co.in,sales5,04-06-2026,"G.F.31, F.P.418,T.P. NO.39,AVANI PLAZA,NR.HARIOM SOCIETY,NR. SANT ASHIS SOCIETY,KATHWADA ROAD NARODA,AHMEDABAD,GUJARAT",,,382330,MHC,900X900,C250,1,GREY,19370,19370,18%,3486.6,0,22856.6
06-08-2026,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,24AAHCA3306M1ZT,GK,9099065008,9099065008,info@thehimalaya.co.in,sales5,06-08-2026,"UG-1-2-3, MILESTONE BUILDING,NR. DRIVW IN CINEMA, THALTEJ,AHMEDABAD",,,380052,MHC,600X600,LD,42,GREY,3822,160524,18%,28894.32,0,189418.32
06-08-2026,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,24AAHCA3306M1ZT,GK,9099065008,9099065008,info@thehimalaya.co.in,sales5,06-08-2026,"UG-1-2-3, MILESTONE BUILDING,NR. DRIVW IN CINEMA, THALTEJ,AHMEDABAD",,,380052,MHC,21X21,ELD,112,GREY,1045,117040,18%,21067.2,0,138107.2
06-08-2026,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,24AAHCA3306M1ZT,GK,9099065008,9099065008,info@thehimalaya.co.in,sales5,06-08-2026,"UG-1-2-3, MILESTONE BUILDING,NR. DRIVW IN CINEMA, THALTEJ,AHMEDABAD",,,380052,MHC,21X21,LD,20,GREY,1045,20900,18%,3762,0,24662
06-08-2026,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,AROMA REALTIES LIMITED,24AAHCA3306M1ZT,GK,9099065008,9099065008,info@thehimalaya.co.in,sales5,06-08-2026,"UG-1-2-3, MILESTONE BUILDING,NR. DRIVW IN CINEMA, THALTEJ,AHMEDABAD",,,380052,MHC,12X12,ELD,12,GREY,378,4536,18%,816.48,0,5352.48
13-06-2026,GAJANAND CORPORATION,GAJANAND CORPORATION,GAJANAND CORPORATION,24AANFG5366J1Z1,GK,9925047840,9925047840,info@thehimalaya.co.in,sales5,13-06-2026,"15, RADHE ROW HOUSE DUPLEX,NR. BARODA EXPRESS HIGHWAY, NR. KADVA PATIDAR VADI, C.T.M, GHODASAR,AHMEDABAD,GUJARAT",,,380026,MHC,24X24,LD,2,GREY,1980,3960,18%,712.8,0,4672.8
